organization_id	cluster_id	action	unixTimeMS	timestamp	date	cluster_name	driver_node_type	node_type	num_workers	autoscale	auto_termination_minutes	enable_elastic_disk	is_automated	cluster_type	security_profile	cluster_log_conf	init_scripts	custom_tags	cluster_source	spark_env_vars	spark_conf	acl_path_prefix	instance_pool_id	spark_version	idempotency_token	deleted_by	created_by	last_edited_by
2222170229861029	0202-160237-cooks169	edit	1614170350000	2021-02-24T12:39:10.000Z	2021-02-24	HC_PassthroughPlusACLs	Standard_D3_v2	Standard_D3_v2	1	""	10	true	false	Serverless	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":true,""isolation_enabled"":true,""repl_languages_permitted"":[""python"",""sql""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/mnt/cluster-logs""}}"	""	"{""ResourceClass"":""Serverless""}"	""	"{""PYSPARK_PYTHON"":""/databricks/python3/bin/python3""}"	"{""spark.databricks.repl.allowedLanguages"":""python,sql"",""spark.databricks.pyspark.enableProcessIsolation"":""true"",""spark.databricks.delta.preview.enabled"":""true"",""spark.databricks.passthrough.enabled"":""true"",""spark.databricks.cluster.profile"":""serverless""}"	""	""	7.5.x-scala2.12	""	""	REDACTED_EMAIL	REDACTED_EMAIL
2222170229861029	0106-114009-angst54	create	1609933209000	2021-01-06T11:40:09.000Z	2021-01-06	Terraform Integration Test fgkjhlghbiig	Standard_F4s	Standard_F4s	1	""	15	true	false	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	""	""	""	""	""	""	""	0106-114007-toffy834-pool-nIEoBdgJ	7.3.x-scala2.12	acc-list-fgkjhlghbiig	REDACTED_EMAIL	REDACTED_EMAIL	""
2222170229861029	0211-220008-blabs931	create	1613080808000	2021-02-11T22:00:08.000Z	2021-02-11	job-49-run-80	Standard_DS3_v2	Standard_DS3_v2	2	""	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""49"",""RunName"":""Overwatch""}"	""	""	"{""spark.databricks.delta.preview.enabled"":""true""}"	/clusters/jobs/49/	""	6.4.x-scala2.11	jobs/job-49-run-80-attempt-1	""	JobsService	""
2222170229861029	0218-060606-rouge895	create	1613628366000	2021-02-18T06:06:06.000Z	2021-02-18	job-51-run-60	Standard_D8s_v3	Standard_DS3_v2	""	"{""min_workers"":1,""max_workers"":4}"	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""51"",""RunName"":""test_automated"",""custom"":""my_custom""}"	""	""	"{""spark.databricks.delta.preview.enabled"":""true""}"	/clusters/jobs/51/	""	6.4.x-scala2.11	jobs/job-51-run-60-attempt-1	""	JobsService	""
2222170229861029	0220-011507-cry670	create	1613783707000	2021-02-20T01:15:07.000Z	2021-02-20	job-166-run-3	Standard_DS3_v2	Standard_DS3_v2	""	"{""min_workers"":1,""max_workers"":2}"	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""166"",""RunName"":""Overwatch""}"	""	""	""	/clusters/jobs/166/	""	6.4.x-scala2.11	jobs/job-166-run-3-attempt-1	""	JobsService	""
2222170229861029	0106-195342-shack558	create	1609962823000	2021-01-06T19:53:43.000Z	2021-01-06	job-49-run-32	Standard_DS3_v2	Standard_DS3_v2	""	"{""min_workers"":1,""max_workers"":2}"	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""49"",""RunName"":""Overwatch""}"	""	""	"{""spark.databricks.delta.preview.enabled"":""true""}"	/clusters/jobs/49/	""	6.4.x-scala2.11	jobs/job-49-run-32-attempt-1	""	JobsService	""
2222170229861029	0106-114527-cave159	create	1609933527000	2021-01-06T11:45:27.000Z	2021-01-06	Terraform wz0cttuitd	Standard_F4s	Standard_F4s	1	""	20	true	false	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	""	""	""	""	""	""	""	0106-114007-toffy834-pool-nIEoBdgJ	7.3.x-scala2.12	tf-wz0cttuitd	REDACTED_EMAIL	REDACTED_EMAIL	""
2222170229861029	0111-060606-mercy328	create	1610345167000	2021-01-11T06:06:07.000Z	2021-01-11	job-51-run-20	Standard_DS3_v2	Standard_DS3_v2	1	""	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""51"",""RunName"":""test_automated"",""custom"":""my_custom""}"	""	""	"{""spark.databricks.delta.preview.enabled"":""true""}"	/clusters/jobs/51/	""	6.4.x-scala2.11	jobs/job-51-run-20-attempt-1	""	JobsService	""
2222170229861029	0106-090807-cards289	create	1609924087000	2021-01-06T09:08:07.000Z	2021-01-06	cluster_t9e9ru8p6e	Standard_DS3_v2	Standard_DS3_v2	""	"{""min_workers"":1,""max_workers"":2}"	10	true	false	Serverless	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""sql"",""python"",""r""],""single_user_profile"":{""is_single_user"":false}}"	""	""	"{""ResourceClass"":""Serverless""}"	""	""	"{""spark.databricks.cluster.profile"":""serverless"",""spark.databricks.repl.allowedLanguages"":""sql,python,r"",""spark.hadoop.fs.s3a.acl.default"":""BucketOwnerFullControl"",""spark.hadoop.fs.s3a.canned.acl"":""BucketOwnerFullControl""}"	""	0106-090805-onion806-pool-zlFSmu7K	6.6.x-scala2.11	""	REDACTED_EMAIL	REDACTED_EMAIL	""
2222170229861029	0106-091936-creak450	create	1609924777000	2021-01-06T09:19:37.000Z	2021-01-06	cluster_63gtr6qbln	Standard_DS3_v2	Standard_DS3_v2	""	"{""min_workers"":1,""max_workers"":2}"	10	true	false	Serverless	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""sql"",""python"",""r""],""single_user_profile"":{""is_single_user"":false}}"	""	""	"{""ResourceClass"":""Serverless""}"	""	""	"{""spark.databricks.cluster.profile"":""serverless"",""spark.databricks.repl.allowedLanguages"":""sql,python,r"",""spark.hadoop.fs.s3a.acl.default"":""BucketOwnerFullControl"",""spark.hadoop.fs.s3a.canned.acl"":""BucketOwnerFullControl""}"	""	0106-091935-rakes810-pool-s1PtlyFb	7.3.x-scala2.12	""	REDACTED_EMAIL	REDACTED_EMAIL	""
2222170229861029	0224-060605-ruffs575	create	1614146766000	2021-02-24T06:06:06.000Z	2021-02-24	job-51-run-66	Standard_D8s_v3	Standard_DS3_v2	""	"{""min_workers"":1,""max_workers"":4}"	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""51"",""RunName"":""test_automated"",""custom"":""my_custom""}"	""	""	"{""spark.databricks.delta.preview.enabled"":""true""}"	/clusters/jobs/51/	""	6.4.x-scala2.11	jobs/job-51-run-66-attempt-1	""	JobsService	""
2222170229861029	0114-220008-reams538	create	1610661608000	2021-01-14T22:00:08.000Z	2021-01-14	job-49-run-45	Standard_DS3_v2	Standard_DS3_v2	2	""	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""49"",""RunName"":""Overwatch""}"	""	""	"{""spark.databricks.delta.preview.enabled"":""true""}"	/clusters/jobs/49/	""	6.4.x-scala2.11	jobs/job-49-run-45-attempt-1	""	JobsService	""
2222170229861029	0114-201004-then166	create	1610655004000	2021-01-14T20:10:04.000Z	2021-01-14	job-61-run-9	Standard_DS4_v2	Standard_DS4_v2	2	""	0	true	true	Standard	"{""table_acls_enabled"":false,""credential_passthrough_enabled"":false,""isolation_enabled"":false,""repl_languages_permitted"":[""All""],""single_user_profile"":{""is_single_user"":false}}"	"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}"	""	"{""JobId"":""61"",""RunName"":""Overwatch_Dev""}"	""	""	"{""spark.databricks.delta.preview.enabled"":""true""}"	/clusters/jobs/61/	""	6.4.x-scala2.11	jobs/job-61-run-9-attempt-1	""	JobsService	""
