instance	API_name	vCPUs	Memory_GB	Compute_Contract_Price	linux_vm_price_hour	On_Demand_Cost_Hourly	Linux_Reserved_Cost_Hourly	Hourly_DBUs	organization_id	interactiveDBUPrice	automatedDBUPrice	Pipeline_SnapTS	Overwatch_RunID
D3 v2	Standard_D3_v2	4	14	0.69	0.28	0.69	0.52	0.75	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
D64s v3	Standard_D64s_v3	64	256	10.34	3.74	10.34	8.23	12.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
D64as v4	Standard_D64as_v4	64	256	1.8302	3.07	1.8302	1.1787	12.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
DS13 v2	Standard_DS13_v2	8	56	1.84	0.74	1.84	1.4	2.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
D12 v2	Standard_D12_v2	4	28	0.92	0.37	0.92	0.7	1.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
D13 v2	Standard_D13_v2	8	56	1.84	0.74	1.84	1.4	2.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
E16s v3	Standard_E16s_v3	16	128	3.32	1.12	3.32	2.65	4.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
E16as v4	Standard_E16as_v4	16	128	0.5927	1.01	0.5927	0.3979	4.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
E48as v4	Standard_E48as_v4	48	384	1.7781	3.02	1.7781	1.1937	12.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
L4s	Standard_L4s	4	32	0.89	0.34	0.89	0.83	1.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
L16s v2	Standard_L16s_v2	16	128	3.58	1.38	3.58	2.78	4.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
L64s v2	Standard_L64s_v2	64	512	14.3	5.5	14.3	11.13	16.0	2222170229861029	0.56	0.26	2021-03-08T21:21:03.000Z	321c08c87db4446da12479a06d1379d9
