organization_id	run_id	run_name	job_runtime	job_id	id_in_job	job_cluster_type	job_task_type	job_terminal_state	job_trigger_type	cluster_id	notebook_params	libraries	workflow_context	task_detail	request_detail	time_detail
2222170229861029	429	""	"{""startEpochMS"":1613426714000,""startTS"":""2021-02-15T22:05:14.000Z"",""endEpochMS"":1613427264000,""endTS"":""2021-02-15T22:14:24.000Z"",""runTimeMS"":550000,""runTimeS"":550.0,""runTimeM"":9.166666666666666,""runTimeH"":0.15277777777777776}"	49	84	new	notebook	Succeeded	cron	0215-220006-flail327	""	""	""	""	"{""submissionRequest"":{},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-d3d7c388bb3a0002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-d3d7c388bb3a0002""}}"	"{""startTime"":1613426714000,""completionTime"":1613427264000}"
2222170229861029	246	""	"{""startEpochMS"":1612226372000,""startTS"":""2021-02-02T00:39:32.000Z"",""endEpochMS"":1612226623000,""endTS"":""2021-02-02T00:43:43.000Z"",""runTimeMS"":251000,""runTimeS"":251.0,""runTimeM"":4.183333333333334,""runTimeH"":0.06972222222222223}"	61	49	existing	notebook	Succeeded	manual	1112-110804-soils854	""	""	""	{}	"{""submissionRequest"":{""submitRequestId"":""ServiceMain-dc6693c6d6830002"",""submitResponse"":{""result"":""{\""run_id\"":246,\""number_in_job\"":49}"",""statusCode"":200},""submitSourceIP"":""0.0.0.0_REDACTED"",""submitUserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36"",""submittedBy"":{""email"":""REDACTED_EMAIL""}},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-d1a9937613270002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-d1a9937613270002""}}"	"{""startTime"":1612226374000,""submissionTime"":1612226372000,""completionTime"":1612226623000}"
2222170229861029	201	""	"{""startEpochMS"":1611684807000,""startTS"":""2021-01-26T18:13:27.000Z"",""endEpochMS"":1611685096000,""endTS"":""2021-01-26T18:18:16.000Z"",""runTimeMS"":289000,""runTimeS"":289.0,""runTimeM"":4.816666666666666,""runTimeH"":0.08027777777777777}"	61	24	existing	notebook	Failed	manual	1112-110804-soils854	""	""	""	{}	"{""submissionRequest"":{""submitRequestId"":""ServiceMain-9213e1b2c6230002"",""submitResponse"":{""result"":""{\""run_id\"":201,\""number_in_job\"":24}"",""statusCode"":200},""submitSourceIP"":""0.0.0.0_REDACTED"",""submitUserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36"",""submittedBy"":{""email"":""REDACTED_EMAIL""}},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-880bc0d36f410002"",""completionResponse"":{""errorMessage"":"""",""statusCode"":400}},""startRequest"":{""startRequestId"":""ServiceMain-880bc0d36f410002""}}"	"{""startTime"":1611684809000,""submissionTime"":1611684807000,""completionTime"":1611685096000}"
2222170229861029	230	""	"{""startEpochMS"":1612073439000,""startTS"":""2021-01-31T06:10:39.000Z"",""endEpochMS"":1612073623000,""endTS"":""2021-01-31T06:13:43.000Z"",""runTimeMS"":184000,""runTimeS"":184.0,""runTimeM"":3.066666666666667,""runTimeH"":0.051111111111111114}"	51	42	new	notebook	Succeeded	cron	0131-060607-cans682	""	""	""	""	"{""submissionRequest"":{},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-6480daf3700d0002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-6480daf3700d0002""}}"	"{""startTime"":1612073439000,""completionTime"":1612073623000}"
2222170229861029	188	""	"{""startEpochMS"":1611353282000,""startTS"":""2021-01-22T22:08:02.000Z"",""endEpochMS"":1611353890000,""endTS"":""2021-01-22T22:18:10.000Z"",""runTimeMS"":608000,""runTimeS"":608.0,""runTimeM"":10.133333333333333,""runTimeH"":0.1688888888888889}"	49	56	new	notebook	Succeeded	cron	0122-220005-chore931	""	""	""	""	"{""submissionRequest"":{},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-1b08cb696cbc0002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-1b08cb696cbc0002""}}"	"{""startTime"":1611353282000,""completionTime"":1611353890000}"
2222170229861029	492	""	"{""startEpochMS"":1614722674000,""startTS"":""2021-03-02T22:04:34.000Z"",""endEpochMS"":1614723339000,""endTS"":""2021-03-02T22:15:39.000Z"",""runTimeMS"":665000,""runTimeS"":665.0,""runTimeM"":11.083333333333334,""runTimeH"":0.18472222222222223}"	49	99	new	notebook	Succeeded	cron	0302-220002-zests550	""	""	""	""	"{""submissionRequest"":{},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-d3df58b159fe0002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-d3df58b159fe0002""}}"	"{""startTime"":1614722674000,""completionTime"":1614723339000}"
2222170229861029	507	c9155e98-7c52-11eb-8e7b-000d3ae6f227	"{""startEpochMS"":1614798057000,""startTS"":""2021-03-03T19:00:57.000Z"",""endEpochMS"":1614798437000,""endTS"":""2021-03-03T19:07:17.000Z"",""runTimeMS"":380000,""runTimeS"":380.0,""runTimeM"":6.333333333333333,""runTimeH"":0.10555555555555556}"	207	1	existing	notebook	Succeeded	manual	1028-133057-mufti22	""	""	""	"{""notebook_task"":""{\""notebook_path\"":\""/Repos/Staging/databricks-nutter-projects-demo/test_code1_code2\""}""}"	"{""submissionRequest"":{""submitRequestId"":""ServiceMain-407a6d581b740002"",""submitResponse"":{""result"":""{\""run_id\"":507}"",""statusCode"":200},""submitSessionId"":""ephemeral-c0138f35-6149-4b6a-b168-1d498cd362a4"",""submitSourceIP"":""0.0.0.0_REDACTED"",""submitUserAgent"":""databricks-cli-0.12.2-"",""submittedBy"":{""email"":""REDACTED_EMAIL""}},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-cdf5024252170002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-cdf5024252170002""}}"	"{""startTime"":1614798330000,""submissionTime"":1614798057000,""completionTime"":1614798437000}"
2222170229861029	482	""	"{""startEpochMS"":1614406395000,""startTS"":""2021-02-27T06:13:15.000Z"",""endEpochMS"":1614406622000,""endTS"":""2021-02-27T06:17:02.000Z"",""runTimeMS"":227000,""runTimeS"":227.0,""runTimeM"":3.783333333333333,""runTimeH"":0.06305555555555556}"	51	69	new	notebook	Succeeded	cron	0227-060603-five193	""	""	""	""	"{""submissionRequest"":{},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-25cfff4e4e6b0002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-25cfff4e4e6b0002""}}"	"{""startTime"":1614406395000,""completionTime"":1614406622000}"
2222170229861029	144	""	"{""startEpochMS"":1610229879000,""startTS"":""2021-01-09T22:04:39.000Z"",""endEpochMS"":1610230489000,""endTS"":""2021-01-09T22:14:49.000Z"",""runTimeMS"":610000,""runTimeS"":610.0,""runTimeM"":10.166666666666666,""runTimeH"":0.16944444444444443}"	49	40	new	notebook	Succeeded	cron	0109-220006-hosed301	""	""	""	""	"{""submissionRequest"":{},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-e33a9f6bc2840002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-e33a9f6bc2840002""}}"	"{""startTime"":1610229879000,""completionTime"":1610230489000}"
2222170229861029	172	""	"{""startEpochMS"":1611089937000,""startTS"":""2021-01-19T20:58:57.000Z"",""endEpochMS"":1611090818000,""endTS"":""2021-01-19T21:13:38.000Z"",""runTimeMS"":881000,""runTimeS"":881.0,""runTimeM"":14.683333333333334,""runTimeH"":0.24472222222222223}"	49	50	new	notebook	Succeeded	manual	0119-205900-ant194	""	""	""	{}	"{""submissionRequest"":{""submitRequestId"":""ServiceMain-f063273663c20002"",""submitResponse"":{""result"":""{\""run_id\"":172,\""number_in_job\"":50}"",""statusCode"":200},""submitSourceIP"":""0.0.0.0_REDACTED"",""submitUserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"",""submittedBy"":{""email"":""REDACTED_EMAIL""}},""cancellationRequest"":{},""completionRequest"":{""completionRequestId"":""ServiceMain-db6c66cb7d750002"",""completionResponse"":{""statusCode"":200}},""startRequest"":{""startRequestId"":""ServiceMain-db6c66cb7d750002""}}"	"{""startTime"":1611090186000,""submissionTime"":1611089937000,""completionTime"":1611090818000}"
