cluster_id,action,unixTimeMS,timestamp,date,cluster_name,driver_node_type,node_type,num_workers,autoscale,auto_termination_minutes,enable_elastic_disk,cluster_log_conf,init_scripts,custom_tags,cluster_source,spark_env_vars,spark_conf,acl_path_prefix,instance_pool_id,spark_version,idempotency_token,organization_id,deleted_by,created_by,last_edited_by
1208-100613-feet295,create,1607421974000,2020-12-08T10:06:14.000+0000,2020-12-08,Test SignalFX integration,null,Standard_DS3_v2,2,null,60,null,"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}","[{""dbfs"":{""destination"":""dbfs:/user/alexey.ott@databricks.com/files/signalfx-init-script.sh""}}]",null,null,null,null,null,null,7.3.x-scala2.12,16074219730240g8embza,null,null,alexey.ott@databricks.com,null
1208-100613-feet295,edit,1607422558000,2020-12-08T10:15:58.000+0000,2020-12-08,Test SignalFX integration,Standard_DS3_v2,Standard_DS3_v2,2,null,60,true,"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}","[{""dbfs"":{""destination"":""dbfs:/FileStore/init-scripts/signalfx-init-script.sh""}}]",null,null,null,"{""spark.databricks.delta.preview.enabled"":""true""}",null,null,7.3.x-scala2.12,null,null,null,alexey.ott@databricks.com,alexey.ott@databricks.com
1207-123249-dines548,create,1607344369000,2020-12-07T12:32:49.000+0000,2020-12-07,job-48-run-3,null,Standard_DS3_v2,null,"{""min_workers"":1,""max_workers"":2}",0,true,null,null,"{""JobId"":""48"",""RunName"":""Overwatch""}",null,null,"{""spark.databricks.delta.preview.enabled"":""true""}",/clusters/jobs/48/,null,6.4.x-scala2.11,jobs/job-48-run-3-attempt-1,2222170229861029,null,JobsService,null
1207-122627-viand415,create,1607343987000,2020-12-07T12:26:27.000+0000,2020-12-07,job-48-run-2,null,Standard_DS3_v2,null,"{""min_workers"":1,""max_workers"":2}",0,true,null,null,"{""JobId"":""48"",""RunName"":""Overwatch""}",null,null,"{""spark.databricks.delta.preview.enabled"":""true""}",/clusters/jobs/48/,null,6.4.x-scala2.11,jobs/job-48-run-2-attempt-1,2222170229861029,null,JobsService,null
1207-122036-sumac310,create,1607343636000,2020-12-07T12:20:36.000+0000,2020-12-07,job-48-run-1,null,Standard_DS3_v2,null,"{""min_workers"":1,""max_workers"":2}",0,null,null,null,"{""JobId"":""48"",""RunName"":""Overwatch""}",null,null,null,/clusters/jobs/48/,null,6.4.x-scala2.11,jobs/job-48-run-1-attempt-1,2222170229861029,null,JobsService,null
1215-150755-sieve313,create,1608044875000,2020-12-15T15:07:55.000+0000,2020-12-15,job-51-run-4,null,Standard_DS3_v2,1,null,0,true,"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}",null,"{""JobId"":""51"",""RunName"":""test_automated""}",null,"{""PYSPARK_PYTHON"":""/databricks/python3/bin/python3""}","{""spark.databricks.delta.preview.enabled"":""true""}",/clusters/jobs/51/,null,7.4.x-scala2.12,jobs/job-51-run-4-attempt-1,2222170229861029,null,JobsService,null
1215-212108-cawed654,create,1608067268000,2020-12-15T21:21:08.000+0000,2020-12-15,job-51-run-10,null,Standard_DS3_v2,1,null,0,true,"{""dbfs"":{""destination"":""dbfs:/cluster-logs""}}",null,"{""JobId"":""51"",""RunName"":""test_automated"",""custom"":""my_custom""}",null,null,"{""spark.databricks.delta.preview.enabled"":""true""}",/clusters/jobs/51/,null,6.4.x-scala2.11,jobs/job-51-run-10-attempt-1,2222170229861029,null,JobsService,null
1214-201848-guns578,create,1607977128000,2020-12-14T20:18:48.000+0000,2020-12-14,job-51-run-2,null,Standard_DS3_v2,1,null,0,true,null,null,"{""JobId"":""51"",""RunName"":""test_automated""}",null,"{""PYSPARK_PYTHON"":""/databricks/python3/bin/python3""}","{""spark.databricks.delta.preview.enabled"":""true""}",/clusters/jobs/51/,null,7.4.x-scala2.12,jobs/job-51-run-2-attempt-1,2222170229861029,null,JobsService,null
1215-194113-said506,create,1608061273000,2020-12-15T19:41:13.000+0000,2020-12-15,IW,null,Standard_DS3_v2,null,"{""min_workers"":2,""max_workers"":8}",120,null,null,null,null,null,"{""PYSPARK_PYTHON"":""/databricks/python3/bin/python3""}",null,null,null,7.4.x-scala2.12,160806127189303n0bftl,null,null,itai.weiss@databricks.com,null
1215-220005-gums976,create,1608069605000,2020-12-15T22:00:05.000+0000,2020-12-15,job-49-run-4,null,Standard_DS3_v2,null,"{""min_workers"":1,""max_workers"":2}",0,true,null,null,"{""JobId"":""49"",""RunName"":""Overwatch""}",null,null,"{""spark.databricks.delta.preview.enabled"":""true""}",/clusters/jobs/49/,null,6.4.x-scala2.11,jobs/job-49-run-4-attempt-1,2222170229861029,null,JobsService,null
