organization_id	job_id	action	unixTimeMS	timestamp	date	job_name	job_type	timeout_seconds	schedule	notebook_path	new_settings	cluster	aclPermissionSet	grants	targetUserId	session_id	request_id	user_agent	response	source_ip_address	created_by	created_ts	deleted_by	deleted_ts	last_edited_by	last_edited_ts
2222170229861029	192	create	1614331224000	2021-02-26T09:20:24.000Z	2021-02-26	Ephemeral Notebook Job	WORKFLOW	600	""	/Projects/Staging/databricks-nutter-projects-demo/Code1	""	"{""existing_cluster_id"":""1028-133057-mufti22""}"	""	""	""	ephemeral-f3eeef84-9824-472e-ace3-26f1c4117752	ServiceMain-bd0d6bec6b0e0002	Apache-HttpClient/4.5.6 (Java/1.8.0_275)	"{""result"":""{\""job_id\"":192}"",""statusCode"":200}"	0.0.0.0_REDACTED	REDACTED_EMAIL	1614331224000	""	""	""	""
2222170229861029	221	create	1614842320000	2021-03-04T07:18:40.000Z	2021-03-04	Ephemeral Notebook Job	WORKFLOW	600	""	/Repos/Staging/databricks-nutter-projects-demo/Code1	""	"{""existing_cluster_id"":""1028-133057-mufti22""}"	""	""	""	ephemeral-10d72c12-3f19-43d2-b066-ac2a3d70d6b9	ServiceMain-fae41a03cdd00002	Apache-HttpClient/4.5.6 (Java/1.8.0_275)	"{""result"":""{\""job_id\"":221}"",""statusCode"":200}"	0.0.0.0_REDACTED	REDACTED_EMAIL	1614842320000	""	""	""	""
2222170229861029	50	update	1611782412000	2021-01-27T21:20:12.000Z	2021-01-27	""	""	""	""	""	"{""notebook_task"":{""notebook_path"":""REDACTED_EMAIL/TestJob"",""base_parameters"":{""decimals"":""5000""}}}"	{}	""	""	""	""	ServiceMain-67433f77b3990002	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36	"{""result"":""{}"",""statusCode"":200}"	0.0.0.0_REDACTED	""	""	""	""	REDACTED_EMAIL	1611782412000
2222170229861029	49	update	1611089916000	2021-01-19T20:58:36.000Z	2021-01-19	""	""	""	""	""	"{""libraries"":[{""maven"":{""coordinates"":""com.microsoft.azure:azure-eventhubs-spark_2.11:2.3.17""}},{""maven"":{""coordinates"":""org.scalaj:scalaj-http_2.11:2.4.2""}}]}"	{}	""	""	""	""	ServiceMain-f063273663c20002	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36	"{""result"":""{}"",""statusCode"":200}"	0.0.0.0_REDACTED	""	""	""	""	REDACTED_EMAIL	1611089916000
2222170229861029	62	create	1609933577000	2021-01-06T11:46:17.000Z	2021-01-06	tf-ibfzorrc3e	""	""	""	/Production/Featurize	""	"{""new_cluster"":""{\""spark_version\"":\""6.4.x-scala2.11\"",\""node_type_id\"":\""Standard_F4s\"",\""num_workers\"":2}""}"	""	""	""	ephemeral-75596426-c0c0-48ba-adb8-6bbdf6d127a6	ServiceMain-d3dd9a2457730002	databricks-tf-provider/0.3.0 (+unknown) terraform/unknown	"{""result"":""{\""job_id\"":62}"",""statusCode"":200}"	0.0.0.0_REDACTED	REDACTED_EMAIL	1609933577000	""	""	""	""
2222170229861029	49	update	1610117288000	2021-01-08T14:48:08.000Z	2021-01-08	""	""	""	""	""	"{""libraries"":[{""maven"":{""coordinates"":""com.microsoft.azure:azure-eventhubs-spark_2.11:2.3.17""}},{""maven"":{""coordinates"":""org.scalaj:scalaj-http_2.11:2.4.2""}}]}"	{}	""	""	""	""	ServiceMain-38ba0036086c0002	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Safari/537.36	"{""result"":""{}"",""statusCode"":200}"	0.0.0.0_REDACTED	""	""	""	""	REDACTED_EMAIL	1610117288000
2222170229861029	49	update	1609964474000	2021-01-06T20:21:14.000Z	2021-01-06	""	""	""	""	""	"{""libraries"":[{""pypi"":{""package"":""plotly==4.8.2""}},{""jar"":""dbfs:/FileStore/jars/scalaj-http_2.11-2.4.2.jar""},{""jar"":""dbfs:/FileStore/jars/105cae00_c5fb_4561_b7a9_27a26574c8d0-overwatch_2_11_0_2_RC1-c0f50.jar""}]}"	{}	""	""	""	""	ServiceMain-513e7f8f0fd60002	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Safari/537.36	"{""result"":""{}"",""statusCode"":200}"	0.0.0.0_REDACTED	""	""	""	""	REDACTED_EMAIL	1609964474000
2222170229861029	82	create	1612432909000	2021-02-04T10:01:49.000Z	2021-02-04	Ephemeral Notebook Job	WORKFLOW	600	""	/Projects/Staging/databricks-nutter-projects-demo/Code1	""	"{""existing_cluster_id"":""1028-133057-mufti22""}"	""	""	""	ephemeral-49204823-549b-4c5a-b6f0-83a373968ff7	ServiceMain-839131bf729e0002	Apache-HttpClient/4.5.6 (Java/1.8.0_265)	"{""result"":""{\""job_id\"":82}"",""statusCode"":200}"	0.0.0.0_REDACTED	REDACTED_EMAIL	1612432909000	""	""	""	""
2222170229861029	49	update	1611098973000	2021-01-19T23:29:33.000Z	2021-01-19	""	""	""	""	""	"{""libraries"":[{""maven"":{""coordinates"":""com.microsoft.azure:azure-eventhubs-spark_2.11:2.3.17""}},{""maven"":{""coordinates"":""org.scalaj:scalaj-http_2.11:2.4.2""}}]}"	{}	""	""	""	""	ServiceMain-491fa8dac72a0002	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36	"{""result"":""{}"",""statusCode"":200}"	0.0.0.0_REDACTED	""	""	""	""	REDACTED_EMAIL	1611098973000
2222170229861029	63	delete	1609933923000	2021-01-06T11:52:03.000Z	2021-01-06	Terraform Integration Test k3g9lfglw2	""	3600	""	/Production/MakeFeatures	""	{}	""	""	""	ephemeral-3f395e9d-62e2-4e1a-937b-36dc89e588ff	ServiceMain-6387968aa1df0002	databricks-tf-provider/0.3.0 (+unknown) terraform/unknown	"{""result"":""{}"",""statusCode"":200}"	0.0.0.0_REDACTED	REDACTED_EMAIL	1609933916000	REDACTED_EMAIL	1609933923000	""	""
