organization_id	job_id	id_in_job	job_start_date	cluster_id	cluster_type	run_terminal_state	run_trigger_type	worker_potential_core_H	driver_compute_cost	driver_dbu_cost	worker_compute_cost	worker_dbu_cost	total_driver_cost	total_worker_cost	total_cost	spark_task_runtimeMS	spark_task_runtime_H	job_run_cluster_util
2222170229861029	49	37	2021-01-08	0108-162350-grill926	automated	Failed	manual	1.34	0.04	0.03	0.08	0.07	0.07	0.14	0.21	605485	0.1682	0.1255
2222170229861029	51	21	2021-01-12	0112-060613-phial318	automated	Succeeded	cron	0.2531	0.01	0.01	0.01	0.01	0.02	0.02	0.04	816003	0.2267	0.8957
2222170229861029	166	6	2021-02-23	0223-011509-gals39	automated	Failed	cron	0.0482	0.0	0.0	0.0	0.0	0.0	0.0	0.01	12980	0.0036	0.0747
2222170229861029	49	81	2021-02-12	0212-220005-rises891	automated	Succeeded	cron	1.2879	0.02	0.03	0.05	0.06	0.06	0.11	0.17	1147616	0.3188	0.2475
2222170229861029	51	52	2021-02-10	0210-060606-smuts673	automated	Succeeded	cron	0.0434	0.01	0.0	0.0	0.0	0.02	0.0	0.02	558237	0.1551	3.5737
2222170229861029	50	21	2021-02-04	1112-110804-soils854	interactive	Failed	manual	0.0111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	""	""	""
2222170229861029	61	65	2021-02-03	1112-110804-soils854	interactive	Succeeded	manual	0.4222	0.02	0.04	0.02	0.04	0.06	0.06	0.12	328305	0.0912	0.216
2222170229861029	166	5	2021-02-22	0222-011506-frog542	automated	Failed	cron	0.0525	0.0	0.0	0.0	0.0	0.0	0.0	0.01	13439	0.0037	0.0705
2222170229861029	61	6	2021-01-08	1112-110804-soils854	interactive	Succeeded	manual	1.1889	0.02	0.06	0.04	0.12	0.08	0.17	0.25	788935	0.2191	0.1843
2222170229861029	61	40	2021-01-29	1112-110804-soils854	interactive	Succeeded	manual	6.4373	0.06	0.17	0.24	0.68	0.23	0.91	1.15	3343084	0.9286	0.1443
2222170229861029	49	39	2021-01-08	0108-220005-slaw35	automated	Succeeded	cron	1.2754	0.02	0.03	0.05	0.06	0.05	0.11	0.16	1244174	0.3456	0.271
2222170229861029	51	30	2021-01-20	0120-060607-offer863	automated	Succeeded	cron	0.2139	0.07	0.02	0.01	0.01	0.09	0.02	0.11	664325	0.1845	0.8626
2222170229861029	61	112	2021-02-08	1112-110804-soils854	interactive	Succeeded	manual	3.74	0.05	0.13	0.14	0.39	0.18	0.53	0.71	34557524	9.5993	2.5667
2222170229861029	99	1	2021-02-04	1028-133057-mufti22	interactive	Succeeded	manual	0.2867	0.01	0.02	0.01	0.03	0.02	0.04	0.06	536	1.0E-4	3.0E-4
2222170229861029	51	75	2021-03-05	0305-060604-drove264	automated	Succeeded	cron	0.0425	0.01	0.0	0.0	0.0	0.02	0.0	0.02	614755	0.1708	4.0188
2222170229861029	61	110	2021-02-08	1112-110804-soils854	interactive	Succeeded	manual	0.8833	0.01	0.03	0.03	0.09	0.04	0.13	0.17	665508	0.1849	0.2093
2222170229861029	50	15	2021-01-27	1112-110804-soils854	interactive	Failed	manual	10.7737	0.09	0.26	0.4	1.13	0.35	1.53	1.88	32800339	9.1112	0.8457
2222170229861029	166	3	2021-02-20	0220-011507-cry670	automated	Failed	cron	0.0489	0.0	0.0	0.0	0.0	0.0	0.0	0.01	12846	0.0036	0.0736
2222170229861029	115	1	2021-02-04	1028-133057-mufti22	interactive	Succeeded	manual	0.3	0.01	0.02	0.01	0.03	0.02	0.04	0.06	464	1.0E-4	3.0E-4
2222170229861029	49	58	2021-01-24	0124-220005-cushy44	automated	Succeeded	cron	1.3423	0.02	0.03	0.05	0.07	0.06	0.12	0.17	1299628	0.361	0.2689
