instance,API_Name,vCPUs,Memory_GB,Compute_Contract_Price,On_Demand_Cost_Hourly,Linux_Reserved_Cost_Hourly,Hourly_DBUs
DS4 v2,Standard_DS4_v2,8,28.0,0.46,0.46,0.276,0.15
DS5 v2,Standard_DS5_v2,16,56.0,0.92,0.92,0.552,3
D3 v2,Standard_D3_v2,4,14.0,0.23,0.23,0.138,0.75
D8s v3,Standard_D8s_v3,8,32.0,0.38,0.38,0.228,1.5
D16s v3,Standard_D16s_v3,16,64.0,0.77,0.77,0.462,3
D32s v3,Standard_D32s_v3,32,128.0,1.54,1.54,0.924,6
D64s v3,Standard_D64s_v3,64,256.0,3.07,3.07,1.842,12
D8as v4,Standard_D8as_v4,8,32.0,0.38,0.38,0.228,1.5
D16as v4,Standard_D16as_v4,16,64.0,0.77,0.77,0.462,3
D32as v4,Standard_D32as_v4,32,128.0,1.54,1.54,0.924,6
D48as v4,Standard_D48as_v4,48,192.0,2.3,2.3,1.38,9
D64as v4,Standard_D64as_v4,64,256.0,3.07,3.07,1.842,12
D96as v4,Standard_D96as_v4,96,384.0,4.61,4.61,2.766,18
D8 v3,Standard_D8_v3,8,32.0,0.38,0.38,0.228,1.5
D16 v3,Standard_D16_v3,16,64.0,0.77,0.77,0.462,3
D32 v3,Standard_D32_v3,32,128.0,1.54,1.54,0.924,6
D64 v3,Standard_D64_v3,64,256.0,3.07,3.07,1.842,12
DS3 v2,Standard_DS3_v2,4,14.0,0.23,0.23,0.138,0.75
DS12 v2,Standard_DS12_v2,4,28.0,0.3,0.3,0.18,1
DS13 v2,Standard_DS13_v2,8,56.0,0.6,0.6,0.36,2
DS14 v2,Standard_DS14_v2,16,112.0,1.2,1.2,0.72,4
DS15 v2,Standard_DS15_v2,20,140.0,1.5,1.5,0.9,5
D12 v2,Standard_D12_v2,4,28.0,0.3,0.3,0.18,1
D13 v2,Standard_D13_v2,8,56.0,0.6,0.6,0.36,2
D14 v2,Standard_D14_v2,16,112.0,1.2,1.2,0.72,3
D15 v2,Standard_D15_v2,20,140.0,1.5,1.5,0.9,5
E8s v3,Standard_E8s_v3,8,64.0,0.53,0.53,0.318,2
E16s v3,Standard_E16s_v3,16,128.0,1.06,1.06,0.636,4
E32s v3,Standard_E32s_v3,32,256.0,2.13,2.13,1.278,8
E64s v3,Standard_E64s_v3,64,432.0,3.63,3.63,2.178,16
E4as v4,Standard_E4as_v4,4,32.0,0.25,0.25,0.15,1
E8as v4,Standard_E8as_v4,8,64.0,0.5,0.5,0.3,2
E16as v4,Standard_E16as_v4,16,128.0,1.01,1.01,0.606,4
E20as v4,Standard_E20as_v4,20,160.0,1.26,1.26,0.756,5
E32as v4,Standard_E32as_v4,32,256.0,2.02,2.02,1.212,8
E48as v4,Standard_E48as_v4,48,384.0,3.02,3.02,1.812,12
E64as v4,Standard_E64as_v4,64,512.0,4.03,4.03,2.418,16
E96as v4,Standard_E96as_v4,96,672.0,6.05,6.05,3.63,24
L4s,Standard_L4s,4,32.0,0.34,0.34,0.204,1
L8s,Standard_L8s,8,64.0,0.69,0.69,0.414,2
L16s,Standard_L16s,16,128.0,1.37,1.37,0.822,4
L32s,Standard_L32s,32,256.0,2.75,2.75,1.65,8
L8s v2,Standard_L8s_v2,8,64.0,0.62,0.62,0.372,2
L16s v2,Standard_L16s_v2,16,128.0,1.25,1.25,0.75,4
