instance,API_Name,vCPUs,Memory_GB,On_Demand_Cost_Hourly,Linux_Reserved_Cost_Hourly,linux_vm_price_hour,Compute_Contract_Price,Hourly_DBUs
c2-standard-16,c2-standard-16,16,64,0.83523,0.66819,0.66819,0.52616,2.88
c2-standard-30,c2-standard-30,30,120,1.56606,1.25285,1.25285,0.98655,5.4
c2-standard-4,c2-standard-4,4,16,0.20881,0.16705,0.16705,0.13154,0.72
c2-standard-60,c2-standard-60,60,240,3.13212,2.5057,2.5057,1.9731,10.8
c2-standard-8,c2-standard-8,8,32,0.41762,0.33409,0.33409,0.26308,1.44
n1-highcpu-16,n1-highcpu-16,16,14.4,0.5672,0.39704,0.39704,0.35707,2.14
n1-highcpu-32,n1-highcpu-32,32,28.8,1.1344,0.79408,0.79408,0.71415,4.27
n1-highcpu-64,n1-highcpu-64,64,57.6,2.2688,1.58816,1.58816,1.42829,8.54
n1-highcpu-96,n1-highcpu-96,96,86.4,3.4032,2.38224,2.38224,2.14244,12.82
n1-highmem-16,n1-highmem-16,16,104,0.9472,0.66304,0.66304,0.59622,3.48
n1-highmem-32,n1-highmem-32,32,208,1.8944,1.32608,1.32608,1.19243,6.96
n1-highmem-4,n1-highmem-4,4,26,0.2368,0.16576,0.16576,0.14905,0.87
n1-highmem-64,n1-highmem-64,64,416,3.7888,2.65216,2.65216,2.38486,13.92
n1-highmem-8,n1-highmem-8,8,52,0.4736,0.33152,0.33152,0.29811,1.74
n1-highmem-96,n1-highmem-96,96,624,5.6832,3.97824,3.97824,3.5773,20.88
n1-standard-16,n1-standard-16,16,60,0.76,0.532,0.532,0.47878,2.82
n1-standard-32,n1-standard-32,32,120,1.52,1.064,1.064,0.95756,5.64
n1-standard-4,n1-standard-4,4,15,0.19,0.133,0.133,0.11969,0.71
n1-standard-64,n1-standard-64,64,240,3.04,2.128,2.128,1.91512,11.28
n1-standard-8,n1-standard-8,8,30,0.38,0.266,0.266,0.23939,1.41
n1-standard-96,n1-standard-96,96,360,4.56,3.192,3.192,2.87268,16.92
n2-highcpu-16,n2-highcpu-16,16,16,0.36134,0.36134,0.36134,0.36134,2.16
n2-highcpu-32,n2-highcpu-32,32,32,0.72269,0.72269,0.72269,0.72269,4.32
n2-highcpu-48,n2-highcpu-48,48,48,1.08403,1.08403,1.08403,1.08403,6.48
n2-highcpu-64,n2-highcpu-64,64,64,1.44538,1.44538,1.44538,1.44538,8.64
n2-highcpu-96,n2-highcpu-96,96,96,3.44141,2.75313,2.75313,2.16806,10.8
n2-highmem-16,n2-highmem-16,16,128,0.66027,0.66027,0.66027,0.66027,3.84
n2-highmem-2,n2-highmem-2,2,16,0.08253,0.08253,0.08253,0.08253,0.48
n2-highmem-32,n2-highmem-32,32,256,1.32054,1.32054,1.32054,1.32054,7.68
n2-highmem-4,n2-highmem-4,4,32,0.16507,0.16507,0.16507,0.16507,0.96
n2-highmem-48,n2-highmem-48,48,384,1.98082,1.98082,1.98082,1.98082,11.52
n2-highmem-64,n2-highmem-64,64,512,2.64109,2.64109,2.64109,2.64109,15.36
n2-highmem-8,n2-highmem-8,8,64,0.33014,0.33014,0.33014,0.33014,1.92
n2-highmem-80,n2-highmem-80,80,640,3.30136,3.30136,3.30136,3.30136,19.2
n2-standard-16,n2-standard-16,16,64,0.48946,0.48946,0.48946,0.48946,2.88
n2-standard-32,n2-standard-32,32,128,0.97891,0.97891,0.97891,0.97891,5.76
n2-standard-4,n2-standard-4,4,16,0.12236,0.12236,0.12236,0.12236,0.72
n2-standard-48,n2-standard-48,48,192,1.46837,1.46837,1.46837,1.46837,8.64
n2-standard-64,n2-standard-64,64,256,1.95782,1.95782,1.95782,1.95782,11.52
n2-standard-8,n2-standard-8,8,32,0.24473,0.24473,0.24473,0.24473,1.44
n2-standard-96,n2-standard-96,96,384,2.93674,2.93674,2.93674,2.93674,14.4
n2d-highcpu-128,n2d-highcpu-128,128,128,3.99206,3.19365,3.19365,2.51494,17.28
n2d-highcpu-16,n2d-highcpu-16,16,16,0.49901,0.39921,0.39921,0.31437,2.16
n2d-highcpu-224,n2d-highcpu-224,224,224,6.98611,5.58889,5.58889,4.40115,30.24
n2d-highcpu-32,n2d-highcpu-32,32,32,0.99802,0.79841,0.79841,0.62874,4.32
n2d-highcpu-48,n2d-highcpu-48,48,48,1.49702,1.19762,1.19762,0.9431,6.48
n2d-highcpu-64,n2d-highcpu-64,64,64,1.99603,1.59683,1.59683,1.25747,8.64
n2d-highcpu-80,n2d-highcpu-80,80,80,2.49504,1.99603,1.99603,1.57184,10.8
n2d-highcpu-96,n2d-highcpu-96,96,96,2.99405,2.39524,2.39524,1.88621,12.96
n2d-highmem-2,n2d-highmem-2,2,16,0.11398,0.09118,0.09118,0.0718,0.48
n2d-highmem-4,n2d-highmem-4,4,32,0.22796,0.18237,0.18237,0.14361,0.96
n2d-standard-128,n2d-standard-128,128,512,5.40749,4.32599,4.32599,3.40659,23.04
n2d-standard-16,n2d-standard-16,16,64,0.67594,0.54075,0.54075,0.42582,2.88
n2d-standard-224,n2d-standard-224,224,896,9.4631,7.57048,7.57048,5.96154,40.32
n2d-standard-32,n2d-standard-32,32,128,1.35187,1.0815,1.0815,0.85165,5.76
n2d-standard-4,n2d-standard-4,4,16,0.16898,0.13519,0.13519,0.10646,0.72
n2d-standard-48,n2d-standard-48,48,192,2.02781,1.62225,1.62225,1.27747,8.64
n2d-standard-64,n2d-standard-64,64,256,2.70374,2.163,2.163,1.7033,11.52
n2d-standard-8,n2d-standard-8,8,32,0.33797,0.27037,0.27037,0.21291,1.44
n2d-standard-80,n2d-standard-80,80,320,3.37968,2.70374,2.70374,2.12912,14.4
n2d-standard-96,n2d-standard-96,96,384,4.05562,3.24449,3.24449,2.55494,17.28
